Date,Open,High,Low,Close,Adj Close,Volume
2011-09-01,55.117142,55.334286,54.388573,54.432858,47.504276,85931300
2011-09-02,53.534286,54.000000,53.118572,53.435715,46.634060,109734800
2011-09-06,52.481430,54.332859,52.354286,54.248573,47.343441,127424500
2011-09-07,55.080002,55.085712,54.571430,54.847141,47.865822,87644200
2011-09-08,54.628571,55.515713,54.615715,54.877144,47.891994,104039600
2011-09-09,54.847141,55.142857,53.574287,53.925713,47.061695,141203300
2011-09-12,53.285713,54.411430,53.128571,54.277142,47.368378,116958100
2011-09-13,54.591427,55.172855,54.321430,54.945713,47.951855,110140100
2011-09-14,55.288570,56.029999,55.108570,55.614285,48.535320,133681100
2011-09-15,55.918571,56.237144,55.700001,56.137142,48.991619,104454700
2011-09-16,56.505714,57.214287,56.432858,57.214287,49.931667,174628300
2011-09-19,56.714287,59.032856,56.457142,58.804287,51.319279,205965200
2011-09-20,59.321430,60.408573,58.741428,59.064285,51.546181,193938500
2011-09-21,59.948570,60.227142,58.857143,58.877144,51.382862,151494000
2011-09-22,57.290001,58.545715,56.671429,57.402859,50.096230,242120200
2011-09-23,57.182858,58.105713,57.121429,57.757141,50.405426,136569300
2011-09-26,57.122856,57.711430,55.900002,57.595715,50.264545,203219100
2011-09-27,58.389999,58.464287,56.865715,57.037144,49.777065,158124400
2011-09-28,57.169998,57.677143,56.644287,56.715714,49.496552,107409400
2011-09-29,57.417141,57.458572,55.172855,55.795715,48.693657,162771700
2011-09-30,55.302856,55.555714,54.454285,54.474285,47.540436,136910200
2011-10-03,54.338570,54.662857,53.310001,53.514286,46.702629,167274800
2011-10-04,53.509998,54.542858,50.605713,53.214287,46.440807,308419300
2011-10-05,52.551430,54.259998,51.471428,54.035713,47.157684,196617400
2011-10-06,53.332859,54.968571,53.114285,53.910000,47.047970,203145600
2011-10-07,53.682858,53.962856,52.641430,52.828571,46.104191,133864500
2011-10-10,54.155716,55.544285,54.029999,55.544285,48.474228,110628700
2011-10-11,56.081429,57.597141,55.928570,57.184284,49.905479,151421900
2011-10-12,58.191429,58.464287,57.162857,57.455715,50.142365,155571500
2011-10-13,57.854286,58.347141,57.549999,58.347141,50.920311,106546300
2011-10-14,59.547142,60.285713,59.324287,60.285713,52.612141,143341800
2011-10-17,60.248573,60.957142,59.419998,59.998573,52.361549,171511200
2011-10-18,60.251427,60.687141,59.427143,60.320000,52.642063,220400600
2011-10-19,57.335712,58.345715,56.828571,56.945713,49.697277,276014900
2011-10-20,57.142857,57.192856,56.315716,56.472858,49.284611,137317600
