County,Sector,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
MENDOCINO,Residential,295.433059,324.654025,333.350749,337.50544,340.030182,340.437699,338.77817,331.108021,314.159273,295.527969,285.009445,265.381675,264.181162,256.306565,279.372703,271.097254,259.865243,249.428718,253.17554,235.357224,240.739424,243.797244,239.200107,249.050097,248.23828
MERCED,Residential,718.838588,697.654027,703.847811,676.883289,657.882252,676.713937,668.964374,657.953164,654.58069,620.884598,612.59431,593.033773,562.797184,539.405968,555.908097,536.279291,519.539331,509.773267,502.477454,475.984955,471.520428,464.213059,414.612266,410.238408,445.584211
MODOC,Residential,53.422913,61.008204,57.447446,61.363255,60.279271,61.354571,63.026113,58.710808,59.044041,57.577305,56.453333,56.767659,55.363948,53.73311,55.575865,56.781566,58.079964,56.8023,64.699111,53.878076,55.755366,58.621914,53.699222,54.60313,50.605452
MONO,Residential,87.621735,98.825775,93.68282,95.687219,94.325758,91.016854,92.55717,97.762652,83.816991,94.855351,92.488524,88.224525,86.71024,86.208509,91.895434,84.916159,88.989198,81.892419,81.123803,81.678987,85.462068,85.942805,81.819393,84.60274,85.017504
MONTEREY,Residential,687.10485,724.630499,730.595548,733.889804,733.819905,730.734487,731.049577,741.440229,728.511406,715.499783,724.979024,707.434854,693.57448,684.048359,721.000129,724.200979,680.13944,654.768601,634.604678,623.04451,622.894636,622.10241,606.054357,630.03829,607.814014
NAPA,Residential,364.036103,374.211795,373.36669,373.678414,375.553895,380.475078,378.102685,376.919394,386.230107,370.132206,363.322856,354.902745,340.524576,325.814043,349.181904,345.183429,334.232799,324.283076,316.359661,305.372795,296.203358,305.106743,297.002241,291.156241,290.6178
NEVADA,Residential,408.017768,423.537883,426.439191,426.577044,425.466235,424.500583,421.317639,413.988501,411.611799,397.552129,398.26262,378.588245,379.075584,363.307011,378.191334,371.637505,367.30218,342.280112,339.726176,327.047146,328.218954,323.128959,313.971178,322.435572,313.879857
ORANGE,Residential,7027.539817,6842.062179,7074.021243,6696.172403,6611.917293,6917.070115,7138.559207,6867.750651,6851.103743,6717.035444,6570.917474,6257.849759,5827.49349,5382.150911,6127.118532,5623.840688,5884.499586,5876.865282,5618.972272,5441.313405,5463.234758,5194.523935,5493.867502,5137.481857,5120.556274
PLACER,Residential,1371.385081,1367.259355,1385.03952,1351.89906,1334.98727,1368.091646,1361.152214,1327.189693,1334.73222,1262.960999,1215.669029,1145.232284,1055.041359,979.288968,976.127544,928.231203,878.625859,844.24378,823.587286,757.250491,746.608507,728.522643,711.086467,702.32253,680.96094
PLUMAS,Residential,98.527385,101.517911,97.831194,101.476186,102.119736,103.35137,103.643092,103.579684,103.455291,102.518722,101.288168,96.163155,96.900046,92.753055,92.930694,94.676095,93.749315,90.033386,88.417064,86.200226,88.051175,116.951203,107.747799,89.257865,88.269715
RIVERSIDE,Residential,6776.627939,6606.599319,6675.290978,6579.905887,6336.530698,6606.966602,6772.741496,6683.145526,6903.024936,5392.832655,5019.323619,5469.54442,4833.109536,4682.646008,4908.414849,4631.336942,4405.222929,4324.404946,4263.842855,4060.42259,4026.994776,3525.50925,3625.50262,3387.375972,3381.206731
SACRAMENTO,Residential,4736.128873,4696.630528,4694.003209,4641.834529,4535.317684,4733.907101,4712.417028,4651.13687,4762.801421,4577.200189,4424.082572,4380.257286,4104.030415,4035.378869,4142.16227,3959.527194,3984.367048,3838.125542,3866.292248,3581.739101,3695.087158,3650.251927,3634.603537,3617.630125,3625.074714
SAN BENITO,Residential,115.570436,119.585348,117.693532,116.184779,116.580686,117.324686,117.408193,119.163344,118.434274,115.968163,117.402202,114.345084,111.07919,105.787621,109.683622,104.496704,96.909419,90.384096,85.04889,78.643154,77.687541,75.114599,71.536465,71.635891,70.136148
SAN BERNARDINO,Residential,4766.204869,4688.605328,4772.747052,4717.853366,4601.192617,4797.692948,4913.978699,4785.970697,4977.816006,5242.335043,5044.930376,4251.328703,3817.874281,3717.467488,3950.51682,3631.995066,3627.311783,3553.100913,3548.364224,3429.884601,3411.1024,3797.836492,3964.319884,3773.015371,3825.313313
SAN DIEGO,Residential,6859.133038,6796.14887,6902.840388,6681.917726,6617.350246,6781.793216,6909.270023,6745.127186,6713.70743,6325.460914,5858.415539,4820.226181,4045.959496,3567.008182,3537.365305,3281.04237,5713.605776,5530.367207,5385.364689,5213.745075,5218.545736,5062.419031,5120.24095,4879.208742,5204.506395
SAN FRANCISCO,Residential,1440.433202,1502.763077,1512.245494,1524.582029,1518.374937,1501.387452,1484.332562,1467.618951,1491.207341,1444.507747,1381.327792,1363.83567,1365.841193,1345.679951,1414.793006,1431.177195,1355.940433,1315.521931,1273.247416,1280.02107,1257.32892,1252.797683,1210.064743,1244.609201,1218.10055
SAN JOAQUIN,Residential,1764.035814,1739.086165,1752.000568,1706.536443,1683.746816,1725.985626,1706.341283,1700.393518,1715.359398,1652.015153,1631.761976,1575.178266,1474.092129,1410.46952,1461.401639,1381.496931,1359.676681,1320.510486,1309.102617,1213.722881,1193.755366,1202.847795,1202.71199,1183.308681,1160.007393
SAN LUIS OBISPO,Residential,631.73856,660.46376,664.844718,656.047929,657.232496,668.361319,673.147331,671.528441,682.453342,651.305902,636.975261,624.945118,542.101828,625.838371,599.993149,586.129341,561.132622,538.657641,524.969428,505.762762,493.122675,493.668203,483.46283,493.915381,487.020224
SAN MATEO,Residential,1505.371839,1572.203026,1584.478299,1603.923537,1616.648647,1613.655465,1612.220082,1592.728399,1597.39754,1568.381758,1545.884184,1514.356663,1513.523864,1475.305562,1586.787658,1591.065725,1534.500914,1483.444353,1445.210949,1413.561677,1412.081315,1415.799756,1371.915575,1400.528192,1392.880024
SANTA BARBARA,Residential,805.883676,832.530971,837.943344,801.476135,802.083483,809.491403,815.953529,813.888189,773.327901,807.323722,789.86741,773.077847,742.627969,736.809167,773.086004,737.408782,719.324185,706.49292,682.029493,672.124025,670.743134,662.362487,655.938051,659.268904,647.314279
SANTA CLARA,Residential,3852.266765,3918.749958,3889.82573,3926.741398,3925.833541,3971.467237,3954.553447,3898.825058,4091.072892,3884.854034,3777.564777,3856.848756,3631.721159,3632.532569,3816.307093,3773.121223,3649.258092,3509.355246,3408.446035,3295.025941,3205.731343,3240.047942,3148.037332,3163.287437,3137.451293
SANTA CRUZ,Residential,557.896788,594.576974,599.535615,602.839133,603.28912,594.39048,585.165016,584.846594,567.961206,563.867798,570.869368,544.723266,542.952346,545.89674,599.419284,589.334066,564.512191,542.318643,528.213716,518.464139,514.354866,515.416561,498.16949,510.493279,502.601156
SHASTA,Residential,730.543553,748.121485,747.917768,746.18955,746.719475,756.690788,752.485745,741.001466,743.385601,710.115374,713.036247,689.644737,668.174869,639.901689,653.242309,642.079804,634.757591,626.99012,661.759299,615.819594,608.054044,598.225337,605.132082,606.142311,578.296518
SIERRA,Residential,13.187279,13.83415,14.166236,14.038939,14.375856,14.39323,14.503157,16.769282,14.853535,15.222403,15.110676,15.061682,14.777267,14.826266,14.627973,14.848177,14.731826,13.908981,13.839174,13.550549,13.418544,10.250577,9.83469,13.437381,13.450056
SISKIYOU,Residential,213.840861,231.373246,227.603068,235.348271,236.593108,240.088325,246.823226,243.915767,236.536075,235.488133,229.817261,230.982636,218.04884,212.419492,222.352654,222.445014,222.079025,226.711535,284.668763,208.569589,219.4331,211.169746,221.741968,214.121954,191.862981
SOLANO,Residential,1010.442223,1021.483886,1020.257746,1013.34594,1003.36019,1021.028346,1029.947646,1011.930309,1052.983975,999.973148,989.503556,990.799323,908.905878,877.69576,939.75444,904.293457,880.818219,854.771901,843.261815,792.330617,778.884335,796.996857,763.352506,760.420748,753.056817
SONOMA,Residential,1289.047708,1348.836569,1356.414221,1360.012116,1346.591094,1321.053828,1303.884735,1272.987877,1299.98071,1230.393491,1226.250921,1187.534122,1152.753528,1117.037568,1199.613902,1191.098838,1140.427771,1099.953577,1061.282895,1032.481043,1024.717927,1027.350417,989.660199,998.355312,987.923198
STANISLAUS,Residential,1723.309509,1698.575804,1697.286996,1666.999718,1636.082413,1718.663578,1709.769175,1677.031351,1731.64233,1651.92123,1619.001674,1609.958342,1504.597521,1429.164212,1447.539235,1377.489813,1367.577234,1331.017855,1331.3099,1244.928194,1255.78003,1219.004491,1291.823418,1301.658558,1196.224573
SUTTER,Residential,277.424902,275.424375,279.445385,271.619489,265.740867,276.956473,277.358295,273.806875,275.787567,259.03964,253.953909,245.326165,228.459695,218.281907,232.958914,226.282229,222.022397,221.10265,219.973839,203.000605,203.671153,200.471983,201.911746,194.811427,191.661435
TEHAMA,Residential,231.062458,237.287413,238.703201,233.762771,233.175209,237.856355,233.977987,230.410313,227.426935,214.093879,216.06667,202.320126,198.326011,189.921097,200.151209,197.215782,191.372709,187.59187,186.971977,177.708536,176.948991,173.922991,176.012138,175.080818,171.136295
TRINITY,Residential,10.421299,11.208753,11.473353,11.598747,11.276366,10.634786,9.987798,9.433199,8.57078,8.280921,8.415927,7.848777,7.951537,7.554643,7.86844,7.574803,7.393925,7.337407,7.248651,7.045808,7.025787,17.383441,25.816312,26.623264,26.298566
TULARE,Residential,1223.528153,1207.791753,1182.436357,1162.176496,1139.392542,1187.638224,1161.595705,1117.295191,1191.525557,1085.246048,1046.76368,1038.091984,941.917305,923.798861,961.79679,889.037278,890.108631,875.53309,875.439751,829.967205,834.705547,812.396109,820.298247,807.148766,788.66998
TUOLUMNE,Residential,206.145512,219.803474,220.364157,220.505524,222.835124,224.344464,224.550168,223.038633,219.30197,213.696094,217.96981,207.063058,208.1221,200.317723,207.408208,206.826367,203.618627,191.286347,189.765704,186.285027,185.058503,187.026583,181.083104,186.355869,184.325696
VENTURA,Residential,1909.056139,1903.520128,1920.689052,1802.353129,1790.31363,1856.569146,1892.179471,1841.655365,1765.764993,1786.184805,1744.202656,1692.796422,1582.853381,1533.180703,1652.83794,1519.151419,1462.68252,1481.608592,1426.889935,1385.918311,1395.507016,1351.133971,1371.460201,1348.88449,1349.773045
YOLO,Residential,505.718004,508.238888,510.870614,500.228432,494.710537,514.856311,508.267258,498.576896,511.971157,492.597295,474.012029,473.559677,437.449931,416.834959,444.344885,419.293215,407.010551,401.931353,395.182263,364.965623,362.160463,366.895768,366.594257,361.263298,361.662528
YUBA,Residential,214.855318,212.555287,215.763758,208.767382,203.722227,205.290033,200.068673,198.67804,193.682356,183.28773,171.593596,158.208847,154.460551,148.301835,155.19074,151.844374,148.137424,146.173412,148.199468,139.638867,141.866205,140.554885,141.72157,139.556078,137.659067
